序号	Emoji	建议分类	展示方式	主网格代表	原始界面位置	图片文件	图片存在	CodePoint	Unicode分组	Unicode子组	Unicode状态	中文名	英文名
11	🫠	笑脸	主网格	🫠	Emoji·表情与人物 / 第 36 行	1fae0.png	是	U+1FAE0	Smileys & Emotion	face-smiling	fully-qualified	融化	MELTING FACE
12	😉	笑脸	主网格	😉	Emoji·表情与人物 / 第 28 行	1f609.png	是	U+1F609	Smileys & Emotion	face-smiling	fully-qualified	眨眼	WINKING FACE
13	😊	笑脸	主网格	😊	Emoji·表情与人物 / 第 29 行	1f60a.png	是	U+1F60A	Smileys & Emotion	face-smiling	fully-qualified	羞涩微笑	SMILING FACE WITH SMILING EYES
14	😇	笑脸	主网格	😇	Emoji·表情与人物 / 第 28 行	1f607.png	是	U+1F607	Smileys & Emotion	face-smiling	fully-qualified	微笑天使	SMILING FACE WITH HALO
15	🥰	笑脸	主网格	🥰	Emoji·表情与人物 / 第 2 行	1f970.png	是	U+1F970	Smileys & Emotion	face-affection	fully-qualified	喜笑颜开	SMILING FACE WITH SMILING EYES AND THREE HEARTS
16	😍	笑脸	主网格	😍	Emoji·表情与人物 / 关系与家庭	1f60d.png	是	U+1F60D	Smileys & Emotion	face-affection	fully-qualified	花痴	SMILING FACE WITH HEART-SHAPED EYES
17	🤩	笑脸	主网格	🤩	Emoji·表情与人物 / 第 34 行	1f929.png	是	U+1F929	Smileys & Emotion	face-affection	fully-qualified	好崇拜哦	GRINNING FACE WITH STAR EYES
18	😘	笑脸	主网格	😘	Emoji·表情与人物 / 第 2 行	1f618.png	是	U+1F618	Smileys & Emotion	face-affection	fully-qualified	飞吻	FACE THROWING A KISS
19	😗	笑脸	主网格	😗	Emoji·表情与人物 / 第 2 行	1f617.png	是	U+1F617	Smileys & Emotion	face-affection	fully-qualified	亲亲	KISSING FACE
20	☺️	笑脸	主网格	☺️	Emoji·表情与人物 / 第 23 行	263a.png	是	U+263A U+FE0F	Smileys & Emotion	face-affection	fully-qualified	微笑	WHITE SMILING FACE
21	☺	笑脸	呈现别名（不重复显示）	☺️	Emoji·表情与人物 / 第 36 行	263a.png	是	U+263A	Smileys & Emotion	face-affection	unqualified	微笑	WHITE SMILING FACE
22	😚	笑脸	主网格	😚	Emoji·表情与人物 / 第 2 行	1f61a.png	是	U+1F61A	Smileys & Emotion	face-affection	fully-qualified	羞涩亲亲	KISSING FACE WITH CLOSED EYES
23	😙	笑脸	主网格	😙	Emoji·表情与人物 / 第 2 行	1f619.png	是	U+1F619	Smileys & Emotion	face-affection	fully-qualified	微笑亲亲	KISSING FACE WITH SMILING EYES
24	🥲	笑脸	主网格	🥲	Emoji·表情与人物 / 第 34 行	1f972.png	是	U+1F972	Smileys & Emotion	face-affection	fully-qualified	含泪的笑脸	SMILING FACE WITH TEAR
25	😋	笑脸	主网格	😋	Emoji·表情与人物 / 第 29 行	1f60b.png	是	U+1F60B	Smileys & Emotion	face-tongue	fully-qualified	好吃	FACE SAVOURING DELICIOUS FOOD
26	😛	笑脸	主网格	😛	Emoji·表情与人物 / 第 30 行	1f61b.png	是	U+1F61B	Smileys & Emotion	face-tongue	fully-qualified	吐舌	FACE WITH STUCK-OUT TONGUE
27	😜	笑脸	主网格	😜	Emoji·表情与人物 / 第 30 行	1f61c.png	是	U+1F61C	Smileys & Emotion	face-tongue	fully-qualified	眨眼吐舌	FACE WITH STUCK-OUT TONGUE AND WINKING EYE
28	🤪	笑脸	主网格	🤪	Emoji·表情与人物 / 第 34 行	1f92a.png	是	U+1F92A	Smileys & Emotion	face-tongue	fully-qualified	滑稽	GRINNING FACE WITH ONE LARGE AND ONE SMALL EYE
29	😝	笑脸	主网格	😝	Emoji·表情与人物 / 第 30 行	1f61d.png	是	U+1F61D	Smileys & Emotion	face-tongue	fully-qualified	眯眼吐舌	FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
30	🤑	笑脸	主网格	🤑	Emoji·表情与人物 / 第 33 行	1f911.png	是	U+1F911	Smileys & Emotion	face-tongue	fully-qualified	发财	MONEY-MOUTH FACE
31	🤗	笑脸	主网格	🤗	Emoji·表情与人物 / 第 33 行	1f917.png	是	U+1F917	Smileys & Emotion	face-hand	fully-qualified	抱抱	HUGGING FACE
32	🤭	笑脸	主网格	🤭	Emoji·表情与人物 / 第 6 行	1f92d.png	是	U+1F92D	Smileys & Emotion	face-hand	fully-qualified	不说	SMILING FACE WITH SMILING EYES AND HAND COVERING MOUTH
33	🫢	笑脸	主网格	🫢	Emoji·表情与人物 / 第 7 行	1fae2.png	是	U+1FAE2	Smileys & Emotion	face-hand	fully-qualified	睁眼捂嘴	FACE WITH OPEN EYES AND HAND OVER MOUTH
34	🫣	笑脸	主网格	🫣	Emoji·表情与人物 / 第 36 行	1fae3.png	是	U+1FAE3	Smileys & Emotion	face-hand	fully-qualified	偷看	FACE WITH PEEKING EYE
35	🤫	笑脸	主网格	🤫	Emoji·表情与人物 / 第 6 行	1f92b.png	是	U+1F92B	Smileys & Emotion	face-hand	fully-qualified	安静的脸	FACE WITH FINGER COVERING CLOSED LIPS
36	🤔	笑脸	主网格	🤔	Emoji·表情与人物 / 第 33 行	1f914.png	是	U+1F914	Smileys & Emotion	face-hand	fully-qualified	想一想	THINKING FACE
37	🫡	笑脸	主网格	🫡	Emoji·表情与人物 / 第 36 行	1fae1.png	是	U+1FAE1	Smileys & Emotion	face-hand	fully-qualified	致敬	SALUTING FACE
38	🤐	笑脸	主网格	🤐	Emoji·表情与人物 / 第 33 行	1f910.png	是	U+1F910	Smileys & Emotion	face-neutral-skeptical	fully-qualified	闭嘴	ZIPPER-MOUTH FACE
39	🤨	笑脸	主网格	🤨	Emoji·表情与人物 / 第 34 行	1f928.png	是	U+1F928	Smileys & Emotion	face-neutral-skeptical	fully-qualified	挑眉	FACE WITH ONE EYEBROW RAISED
40	😐	笑脸	主网格	😐	Emoji·表情与人物 / 第 29 行	1f610.png	是	U+1F610	Smileys & Emotion	face-neutral-skeptical	fully-qualified	冷漠	NEUTRAL FACE
41	😑	笑脸	主网格	😑	Emoji·表情与人物 / 第 29 行	1f611.png	是	U+1F611	Smileys & Emotion	face-neutral-skeptical	fully-qualified	无语	EXPRESSIONLESS FACE
42	😶	笑脸	主网格	😶	Emoji·表情与人物 / 第 24 行	1f636.png	是	U+1F636	Smileys & Emotion	face-neutral-skeptical	fully-qualified	沉默	FACE WITHOUT MOUTH
43	🫥	笑脸	主网格	🫥	Emoji·表情与人物 / 第 36 行	1fae5.png	是	U+1FAE5	Smileys & Emotion	face-neutral-skeptical	fully-qualified	虚线脸	DOTTED LINE FACE
44	😶‍🌫️	笑脸	主网格	😶‍🌫️	Emoji·表情与人物 / 表情与情绪	1f636-200d-1f32b.png	是	U+1F636 U+200D U+1F32B U+FE0F	Smileys & Emotion	face-neutral-skeptical	fully-qualified	迷茫	FACE WITHOUT MOUTH / FOG
45	😏	笑脸	主网格	😏	Emoji·表情与人物 / 第 29 行	1f60f.png	是	U+1F60F	Smileys & Emotion	face-neutral-skeptical	fully-qualified	得意	SMIRKING FACE
46	😒	笑脸	主网格	😒	Emoji·表情与人物 / 第 29 行	1f612.png	是	U+1F612	Smileys & Emotion	face-neutral-skeptical	fully-qualified	不高兴	UNAMUSED FACE
47	🙄	笑脸	主网格	🙄	Emoji·表情与人物 / 第 33 行	1f644.png	是	U+1F644	Smileys & Emotion	face-neutral-skeptical	fully-qualified	翻白眼	FACE WITH ROLLING EYES
48	😬	笑脸	主网格	😬	Emoji·表情与人物 / 第 31 行	1f62c.png	是	U+1F62C	Smileys & Emotion	face-neutral-skeptical	fully-qualified	龇牙咧嘴	GRIMACING FACE
49	😮‍💨	笑脸	主网格	😮‍💨	Emoji·表情与人物 / 第 23 行	1f62e-200d-1f4a8.png	是	U+1F62E U+200D U+1F4A8	Smileys & Emotion	face-neutral-skeptical	fully-qualified	呼气	FACE WITH OPEN MOUTH / DASH SYMBOL
50	🤥	笑脸	主网格	🤥	Emoji·表情与人物 / 第 34 行	1f925.png	是	U+1F925	Smileys & Emotion	face-neutral-skeptical	fully-qualified	说谎	LYING FACE
51	🫨	笑脸	主网格	🫨	Emoji·表情与人物 / 第 36 行	1fae8.png	是	U+1FAE8	Smileys & Emotion	face-neutral-skeptical	fully-qualified	颤抖	SHAKING FACE
52	😌	笑脸	主网格	😌	Emoji·表情与人物 / 第 29 行	1f60c.png	是	U+1F60C	Smileys & Emotion	face-sleepy	fully-qualified	松了口气	RELIEVED FACE
53	😔	笑脸	主网格	😔	Emoji·表情与人物 / 第 29 行	1f614.png	是	U+1F614	Smileys & Emotion	face-sleepy	fully-qualified	沉思	PENSIVE FACE
54	😪	笑脸	主网格	😪	Emoji·表情与人物 / 第 31 行	1f62a.png	是	U+1F62A	Smileys & Emotion	face-sleepy	fully-qualified	困	SLEEPY FACE
55	🤤	笑脸	主网格	🤤	Emoji·表情与人物 / 第 34 行	1f924.png	是	U+1F924	Smileys & Emotion	face-sleepy	fully-qualified	流口水	DROOLING FACE
56	😴	笑脸	主网格	😴	Emoji·表情与人物 / 第 32 行	1f634.png	是	U+1F634	Smileys & Emotion	face-sleepy	fully-qualified	睡着了	SLEEPING FACE
57	🫩	笑脸	主网格	🫩	Emoji·符号与旗帜 / 第 90 行	1fae9.png	是	U+1FAE9	Smileys & Emotion	face-sleepy	fully-qualified	有眼袋	U+1FAE9
58	😷	笑脸	主网格	😷	Emoji·表情与人物 / 第 32 行	1f637.png	是	U+1F637	Smileys & Emotion	face-unwell	fully-qualified	感冒	FACE WITH MEDICAL MASK
59	🤒	笑脸	主网格	🤒	Emoji·表情与人物 / 第 33 行	1f912.png	是	U+1F912	Smileys & Emotion	face-unwell	fully-qualified	发烧	FACE WITH THERMOMETER
60	🤕	笑脸	主网格	🤕	Emoji·表情与人物 / 第 33 行	1f915.png	是	U+1F915	Smileys & Emotion	face-unwell	fully-qualified	受伤	FACE WITH HEAD-BANDAGE
61	🤢	笑脸	主网格	🤢	Emoji·表情与人物 / 第 33 行	1f922.png	是	U+1F922	Smileys & Emotion	face-unwell	fully-qualified	恶心	NAUSEATED FACE
62	🤮	笑脸	主网格	🤮	Emoji·表情与人物 / 第 34 行	1f92e.png	是	U+1F92E	Smileys & Emotion	face-unwell	fully-qualified	呕吐	FACE WITH OPEN MOUTH VOMITING
63	🤧	笑脸	主网格	🤧	Emoji·表情与人物 / 第 34 行	1f927.png	是	U+1F927	Smileys & Emotion	face-unwell	fully-qualified	打喷嚏	SNEEZING FACE
64	🥵	笑脸	主网格	🥵	Emoji·表情与人物 / 第 35 行	1f975.png	是	U+1F975	Smileys & Emotion	face-unwell	fully-qualified	脸发烧	OVERHEATED FACE
65	🥶	笑脸	主网格	🥶	Emoji·表情与人物 / 第 35 行	1f976.png	是	U+1F976	Smileys & Emotion	face-unwell	fully-qualified	冷脸	FREEZING FACE
66	🥴	笑脸	主网格	🥴	Emoji·表情与人物 / 第 35 行	1f974.png	是	U+1F974	Smileys & Emotion	face-unwell	fully-qualified	头昏眼花	FACE WITH UNEVEN EYES AND WAVY MOUTH
67	😵	笑脸	主网格	😵	Emoji·表情与人物 / 第 24 行	1f635.png	是	U+1F635	Smileys & Emotion	face-unwell	fully-qualified	晕头转向	DIZZY FACE
68	😵‍💫	笑脸	主网格	😵‍💫	Emoji·表情与人物 / 第 23 行	1f635-200d-1f4ab.png	是	U+1F635 U+200D U+1F4AB	Smileys & Emotion	face-unwell	fully-qualified	晕	DIZZY FACE / DIZZY SYMBOL
69	🤯	笑脸	主网格	🤯	Emoji·表情与人物 / 第 34 行	1f92f.png	是	U+1F92F	Smileys & Emotion	face-unwell	fully-qualified	爆炸头	SHOCKED FACE WITH EXPLODING HEAD
70	🤠	笑脸	主网格	🤠	Emoji·表情与人物 / 第 33 行	1f920.png	是	U+1F920	Smileys & Emotion	face-hat	fully-qualified	牛仔帽脸	FACE WITH COWBOY HAT
71	🥳	笑脸	主网格	🥳	Emoji·表情与人物 / 第 34 行	1f973.png	是	U+1F973	Smileys & Emotion	face-hat	fully-qualified	聚会笑脸	FACE WITH PARTY HORN AND PARTY HAT
72	🥸	笑脸	主网格	🥸	Emoji·表情与人物 / 第 35 行	1f978.png	是	U+1F978	Smileys & Emotion	face-hat	fully-qualified	伪装的脸	DISGUISED FACE
73	😎	笑脸	主网格	😎	Emoji·表情与人物 / 第 29 行	1f60e.png	是	U+1F60E	Smileys & Emotion	face-glasses	fully-qualified	墨镜笑脸	SMILING FACE WITH SUNGLASSES
74	🤓	笑脸	主网格	🤓	Emoji·表情与人物 / 第 33 行	1f913.png	是	U+1F913	Smileys & Emotion	face-glasses	fully-qualified	书呆子脸	NERD FACE
75	🧐	笑脸	主网格	🧐	Emoji·表情与人物 / 第 35 行	1f9d0.png	是	U+1F9D0	Smileys & Emotion	face-glasses	fully-qualified	带单片眼镜的脸	FACE WITH MONOCLE
76	😕	笑脸	主网格	😕	Emoji·表情与人物 / 第 29 行	1f615.png	是	U+1F615	Smileys & Emotion	face-concerned	fully-qualified	困扰	CONFUSED FACE
77	🫤	笑脸	主网格	🫤	Emoji·表情与人物 / 第 36 行	1fae4.png	是	U+1FAE4	Smileys & Emotion	face-concerned	fully-qualified	郁闷	FACE WITH DIAGONAL MOUTH
78	😟	笑脸	主网格	😟	Emoji·表情与人物 / 第 30 行	1f61f.png	是	U+1F61F	Smileys & Emotion	face-concerned	fully-qualified	担心	WORRIED FACE
79	🙁	笑脸	主网格	🙁	Emoji·表情与人物 / 第 32 行	1f641.png	是	U+1F641	Smileys & Emotion	face-concerned	fully-qualified	微微不满	SLIGHTLY FROWNING FACE
80	☹️	笑脸	主网格	☹️	Emoji·表情与人物 / 第 23 行	2639.png	是	U+2639 U+FE0F	Smileys & Emotion	face-concerned	fully-qualified	不满	WHITE FROWNING FACE
81	☹	笑脸	呈现别名（不重复显示）	☹️	Emoji·表情与人物 / 第 35 行	2639.png	是	U+2639	Smileys & Emotion	face-concerned	unqualified	不满	WHITE FROWNING FACE
82	😮	笑脸	主网格	😮	Emoji·表情与人物 / 第 24 行	1f62e.png	是	U+1F62E	Smileys & Emotion	face-concerned	fully-qualified	吃惊	FACE WITH OPEN MOUTH
83	😯	笑脸	主网格	😯	Emoji·表情与人物 / 第 31 行	1f62f.png	是	U+1F62F	Smileys & Emotion	face-concerned	fully-qualified	缄默	HUSHED FACE
84	😲	笑脸	主网格	😲	Emoji·表情与人物 / 第 31 行	1f632.png	是	U+1F632	Smileys & Emotion	face-concerned	fully-qualified	震惊	ASTONISHED FACE
85	😳	笑脸	主网格	😳	Emoji·表情与人物 / 第 31 行	1f633.png	是	U+1F633	Smileys & Emotion	face-concerned	fully-qualified	脸红	FLUSHED FACE
86	🫪	笑脸	主网格	🫪	Emoji·符号与旗帜 / 第 91 行	1faea.png	是	U+1FAEA	Smileys & Emotion	face-concerned	fully-qualified	变形的脸	U+1FAEA
87	🥺	笑脸	主网格	🥺	Emoji·表情与人物 / 第 35 行	1f97a.png	是	U+1F97A	Smileys & Emotion	face-concerned	fully-qualified	恳求的脸	FACE WITH PLEADING EYES
88	🥹	笑脸	主网格	🥹	Emoji·表情与人物 / 第 36 行	1f979.png	是	U+1F979	Smileys & Emotion	face-concerned	fully-qualified	忍住泪水	FACE HOLDING BACK TEARS
89	😦	笑脸	主网格	😦	Emoji·表情与人物 / 第 30 行	1f626.png	是	U+1F626	Smileys & Emotion	face-concerned	fully-qualified	啊	FROWNING FACE WITH OPEN MOUTH
90	😧	笑脸	主网格	😧	Emoji·表情与人物 / 第 31 行	1f627.png	是	U+1F627	Smileys & Emotion	face-concerned	fully-qualified	极度痛苦	ANGUISHED FACE
91	😨	笑脸	主网格	😨	Emoji·表情与人物 / 第 31 行	1f628.png	是	U+1F628	Smileys & Emotion	face-concerned	fully-qualified	害怕	FEARFUL FACE
92	😰	笑脸	主网格	😰	Emoji·表情与人物 / 第 31 行	1f630.png	是	U+1F630	Smileys & Emotion	face-concerned	fully-qualified	冷汗	FACE WITH OPEN MOUTH AND COLD SWEAT
93	😥	笑脸	主网格	😥	Emoji·表情与人物 / 第 30 行	1f625.png	是	U+1F625	Smileys & Emotion	face-concerned	fully-qualified	失望但如释重负	DISAPPOINTED BUT RELIEVED FACE
94	😢	笑脸	主网格	😢	Emoji·表情与人物 / 第 30 行	1f622.png	是	U+1F622	Smileys & Emotion	face-concerned	fully-qualified	哭	CRYING FACE
95	😭	笑脸	主网格	😭	Emoji·表情与人物 / 第 31 行	1f62d.png	是	U+1F62D	Smileys & Emotion	face-concerned	fully-qualified	放声大哭	LOUDLY CRYING FACE
96	😱	笑脸	主网格	😱	Emoji·表情与人物 / 第 31 行	1f631.png	是	U+1F631	Smileys & Emotion	face-concerned	fully-qualified	吓死了	FACE SCREAMING IN FEAR
97	😖	笑脸	主网格	😖	Emoji·表情与人物 / 第 29 行	1f616.png	是	U+1F616	Smileys & Emotion	face-concerned	fully-qualified	困惑	CONFOUNDED FACE
98	😣	笑脸	主网格	😣	Emoji·表情与人物 / 第 30 行	1f623.png	是	U+1F623	Smileys & Emotion	face-concerned	fully-qualified	痛苦	PERSEVERING FACE
99	😞	笑脸	主网格	😞	Emoji·表情与人物 / 第 30 行	1f61e.png	是	U+1F61E	Smileys & Emotion	face-concerned	fully-qualified	失望	DISAPPOINTED FACE
100	😓	笑脸	主网格	😓	Emoji·表情与人物 / 第 29 行	1f613.png	是	U+1F613	Smileys & Emotion	face-concerned	fully-qualified	汗	FACE WITH COLD SWEAT
101	😩	笑脸	主网格	😩	Emoji·表情与人物 / 第 31 行	1f629.png	是	U+1F629	Smileys & Emotion	face-concerned	fully-qualified	累死了	WEARY FACE
102	😫	笑脸	主网格	😫	Emoji·表情与人物 / 第 31 行	1f62b.png	是	U+1F62B	Smileys & Emotion	face-concerned	fully-qualified	累	TIRED FACE
103	🥱	笑脸	主网格	🥱	Emoji·表情与人物 / 第 34 行	1f971.png	是	U+1F971	Smileys & Emotion	face-concerned	fully-qualified	打呵欠	YAWNING FACE
104	😤	笑脸	主网格	😤	Emoji·表情与人物 / 第 30 行	1f624.png	是	U+1F624	Smileys & Emotion	face-negative	fully-qualified	傲慢	FACE WITH LOOK OF TRIUMPH
105	😡	笑脸	主网格	😡	Emoji·表情与人物 / 第 30 行	1f621.png	是	U+1F621	Smileys & Emotion	face-negative	fully-qualified	怒火中烧	POUTING FACE
106	😠	笑脸	主网格	😠	Emoji·表情与人物 / 第 30 行	1f620.png	是	U+1F620	Smileys & Emotion	face-negative	fully-qualified	生气	ANGRY FACE
107	🤬	笑脸	主网格	🤬	Emoji·表情与人物 / 第 34 行	1f92c.png	是	U+1F92C	Smileys & Emotion	face-negative	fully-qualified	嘴上有符号的脸	SERIOUS FACE WITH SYMBOLS COVERING MOUTH
108	😈	笑脸	主网格	😈	Emoji·表情与人物 / 第 28 行	1f608.png	是	U+1F608	Smileys & Emotion	face-negative	fully-qualified	恶魔微笑	SMILING FACE WITH HORNS
109	👿	笑脸	主网格	👿	Emoji·符号与旗帜 / 第 55 行	1f47f.png	是	U+1F47F	Smileys & Emotion	face-negative	fully-qualified	生气的恶魔	IMP
110	💀	笑脸	主网格	💀	Emoji·符号与旗帜 / 第 56 行	1f480.png	是	U+1F480	Smileys & Emotion	face-negative	fully-qualified	头骨	SKULL
111	☠️	笑脸	主网格	☠️	Emoji·符号与旗帜 / 第 34 行	2620.png	是	U+2620 U+FE0F	Smileys & Emotion	face-negative	fully-qualified	骷髅	SKULL AND CROSSBONES
112	☠	笑脸	呈现别名（不重复显示）	☠️	Emoji·符号与旗帜 / 第 81 行	2620.png	是	U+2620	Smileys & Emotion	face-negative	unqualified	骷髅	SKULL AND CROSSBONES
113	💩	笑脸	主网格	💩	Emoji·符号与旗帜 / 第 57 行	1f4a9.png	是	U+1F4A9	Smileys & Emotion	face-costume	fully-qualified	大便	PILE OF POO
114	🤡	笑脸	主网格	🤡	Emoji·表情与人物 / 第 33 行	1f921.png	是	U+1F921	Smileys & Emotion	face-costume	fully-qualified	小丑脸	CLOWN FACE
115	👹	笑脸	主网格	👹	Emoji·符号与旗帜 / 第 55 行	1f479.png	是	U+1F479	Smileys & Emotion	face-costume	fully-qualified	食人魔	JAPANESE OGRE
116	👺	笑脸	主网格	👺	Emoji·符号与旗帜 / 第 55 行	1f47a.png	是	U+1F47A	Smileys & Emotion	face-costume	fully-qualified	小妖精	JAPANESE GOBLIN
117	👻	笑脸	主网格	👻	Emoji·符号与旗帜 / 第 55 行	1f47b.png	是	U+1F47B	Smileys & Emotion	face-costume	fully-qualified	鬼	GHOST
118	👽	笑脸	主网格	👽	Emoji·符号与旗帜 / 第 55 行	1f47d.png	是	U+1F47D	Smileys & Emotion	face-costume	fully-qualified	外星人	EXTRATERRESTRIAL ALIEN
119	👾	笑脸	主网格	👾	Emoji·符号与旗帜 / 第 55 行	1f47e.png	是	U+1F47E	Smileys & Emotion	face-costume	fully-qualified	外星怪物	ALIEN MONSTER
120	🤖	笑脸	主网格	🤖	Emoji·表情与人物 / 第 33 行	1f916.png	是	U+1F916	Smileys & Emotion	face-costume	fully-qualified	机器人	ROBOT FACE
121	😺	笑脸	主网格	😺	Emoji·表情与人物 / 第 32 行	1f63a.png	是	U+1F63A	Smileys & Emotion	cat-face	fully-qualified	大笑的猫	SMILING CAT FACE WITH OPEN MOUTH
122	😸	笑脸	主网格	😸	Emoji·表情与人物 / 第 32 行	1f638.png	是	U+1F638	Smileys & Emotion	cat-face	fully-qualified	微笑的猫	GRINNING CAT FACE WITH SMILING EYES
123	😹	笑脸	主网格	😹	Emoji·表情与人物 / 第 32 行	1f639.png	是	U+1F639	Smileys & Emotion	cat-face	fully-qualified	笑出眼泪的猫	CAT FACE WITH TEARS OF JOY
124	😻	笑脸	主网格	😻	Emoji·表情与人物 / 第 2 行	1f63b.png	是	U+1F63B	Smileys & Emotion	cat-face	fully-qualified	花痴的猫	SMILING CAT FACE WITH HEART-SHAPED EYES
125	😼	笑脸	主网格	😼	Emoji·表情与人物 / 第 32 行	1f63c.png	是	U+1F63C	Smileys & Emotion	cat-face	fully-qualified	奸笑的猫	CAT FACE WITH WRY SMILE
126	😽	笑脸	主网格	😽	Emoji·表情与人物 / 第 2 行	1f63d.png	是	U+1F63D	Smileys & Emotion	cat-face	fully-qualified	亲亲猫	KISSING CAT FACE WITH CLOSED EYES
127	🙀	笑脸	主网格	🙀	Emoji·表情与人物 / 第 32 行	1f640.png	是	U+1F640	Smileys & Emotion	cat-face	fully-qualified	疲倦的猫	WEARY CAT FACE
128	😿	笑脸	主网格	😿	Emoji·表情与人物 / 第 32 行	1f63f.png	是	U+1F63F	Smileys & Emotion	cat-face	fully-qualified	哭泣的猫	CRYING CAT FACE
129	😾	笑脸	主网格	😾	Emoji·表情与人物 / 第 32 行	1f63e.png	是	U+1F63E	Smileys & Emotion	cat-face	fully-qualified	生气的猫	POUTING CAT FACE
130	🙈	笑脸	主网格	🙈	Emoji·动物与自然 / 第 14 行	1f648.png	是	U+1F648	Smileys & Emotion	monkey-face	fully-qualified	非礼勿视	SEE-NO-EVIL MONKEY
131	🙉	笑脸	主网格	🙉	Emoji·动物与自然 / 第 14 行	1f649.png	是	U+1F649	Smileys & Emotion	monkey-face	fully-qualified	非礼勿听	HEAR-NO-EVIL MONKEY
132	🙊	笑脸	主网格	🙊	Emoji·动物与自然 / 第 14 行	1f64a.png	是	U+1F64A	Smileys & Emotion	monkey-face	fully-qualified	非礼勿言	SPEAK-NO-EVIL MONKEY
133	👋	手势	主网格	👋	Emoji·表情与人物 / 第 4 行	1f44b.png	是	U+1F44B	People & Body	hand-fingers-open	fully-qualified	挥手	WAVING HAND SIGN
134	👋🏻	手势	肤色变体（右键）	👋🏻	未直接列在现有 Emoji 网格	1f44b-1f3fb.png	是	U+1F44B U+1F3FB	People & Body	hand-fingers-open	fully-qualified	Waving手符号、较浅肤色	WAVING HAND SIGN / LIGHT SKIN TONE
135	👋🏼	手势	肤色变体（右键）	👋🏼	未直接列在现有 Emoji 网格	1f44b-1f3fc.png	是	U+1F44B U+1F3FC	People & Body	hand-fingers-open	fully-qualified	Waving手符号、中等偏浅肤色	WAVING HAND SIGN / MEDIUM-LIGHT SKIN TONE
136	👋🏽	手势	肤色变体（右键）	👋🏽	未直接列在现有 Emoji 网格	1f44b-1f3fd.png	是	U+1F44B U+1F3FD	People & Body	hand-fingers-open	fully-qualified	Waving手符号、中等肤色	WAVING HAND SIGN / MEDIUM SKIN TONE
137	👋🏾	手势	肤色变体（右键）	👋🏾	未直接列在现有 Emoji 网格	1f44b-1f3fe.png	是	U+1F44B U+1F3FE	People & Body	hand-fingers-open	fully-qualified	Waving手符号、中等偏深肤色	WAVING HAND SIGN / MEDIUM-DARK SKIN TONE
138	👋🏿	手势	肤色变体（右键）	👋🏿	未直接列在现有 Emoji 网格	1f44b-1f3ff.png	是	U+1F44B U+1F3FF	People & Body	hand-fingers-open	fully-qualified	Waving手符号、较深肤色	WAVING HAND SIGN / DARK SKIN TONE
139	🤚	手势	主网格	🤚	Emoji·表情与人物 / 第 5 行	1f91a.png	是	U+1F91A	People & Body	hand-fingers-open	fully-qualified	立起的手背	RAISED BACK OF HAND
140	🤚🏻	手势	肤色变体（右键）	🤚🏻	未直接列在现有 Emoji 网格	1f91a-1f3fb.png	是	U+1F91A U+1F3FB	People & Body	hand-fingers-open	fully-qualified	RaisedBack的手、较浅肤色	RAISED BACK OF HAND / LIGHT SKIN TONE
